ticker,RS,close,volume,ma10,ma20,ma50,ma200,high10,high20,high50,52wH,atr_14,atr_14_pct,avg_value_10
WPM,91,140.23,2903300,143.719,137.56,123.336,102.137,160.36,160.36,160.36,160.36,7.143,5.094,500.449
SAN,91,12.43,52865700,12.651,12.357,11.737,9.682,13.11,13.11,13.11,13.11,0.341,2.742,176.89
GOOG,90,333.34,36578300,336.027,332.868,321.684,238.088,350.15,350.15,350.15,350.15,8.789,2.637,7418.918
SMTC,90,81.88,2619900,82.187,79.49,76.408,58.323,90.09,90.09,90.09,90.09,5.248,6.409,136.434
GOOGL,90,333.04,70110700,335.498,332.39,321.017,237.223,349.0,349.0,349.0,349.0,8.833,2.652,11259.397
GEV,90,746.22,5052700,711.493,682.036,657.66,576.04,795.5,795.5,795.5,795.5,36.071,4.834,2862.612
GM,90,86.29,8837600,83.806,82.791,80.334,61.69,87.62,87.62,87.62,87.62,2.289,2.653,849.535
AXSM,90,185.54,623400,185.894,180.986,164.157,127.575,191.5,191.5,191.5,191.5,5.716,3.081,103.329
IBP,90,320.77,692000,297.577,297.758,279.789,233.337,322.68,322.68,322.68,322.68,12.99,4.05,101.668
EL,89,119.61,5169000,116.976,115.368,107.937,88.981,121.64,121.64,121.64,121.64,3.465,2.897,413.19
ULTA,88,678.64,496000,661.467,663.576,615.39,520.597,694.34,695.34,695.34,695.34,16.825,2.479,395.634
TECK,88,55.9,5551600,55.406,53.066,48.234,40.587,60.71,60.71,60.71,60.71,2.607,4.664,323.82
MPWR,88,1136.83,1262700,1124.8,1060.566,989.428,851.44,1226.3,1226.3,1226.3,1226.3,52.077,4.581,825.714
BC,88,88.22,962000,84.724,85.873,77.951,63.955,89.59,89.61,89.61,89.61,2.832,3.211,106.553
ADI,88,320.44,6274500,311.776,305.09,285.53,244.881,323.09,323.09,323.09,323.09,8.826,2.754,1250.687
WCC,88,301.37,1139500,292.701,284.059,269.885,219.58,316.5,316.5,316.5,316.5,9.517,3.158,143.048
BBD,87,3.95,38323200,4.045,3.771,3.571,3.158,4.29,4.29,4.29,4.29,0.125,3.171,199.214
BCS,87,26.52,8807700,26.763,26.316,24.987,20.657,27.7,27.7,27.7,27.7,0.546,2.059,140.814
NVT,87,116.69,3356300,113.954,110.737,107.017,89.532,120.85,120.85,120.85,120.85,4.436,3.801,237.904
HAL,87,34.34,17456100,33.74,33.045,29.977,24.383,35.55,35.55,35.55,35.55,1.154,3.362,509.627
BAR,86,48.67,1806300,49.55,47.446,44.368,37.441,54.625,54.625,54.625,54.625,1.785,3.667,230.665
TEX,86,64.25,3006900,60.113,60.019,54.768,49.987,66.18,66.18,66.18,66.18,2.319,3.61,181.472
VIK,86,74.4,3218400,71.7,71.413,70.339,58.893,76.675,76.675,76.675,76.675,2.337,3.141,198.919
GGB,86,4.28,53968400,4.392,4.239,3.885,3.25,4.66,4.66,4.66,4.66,0.137,3.198,102.185
ROK,85,429.84,1467400,423.589,418.429,406.098,351.74,438.72,438.72,438.72,438.72,9.669,2.249,321.555
MCHP,85,78.23,14563800,76.866,75.601,68.055,64.433,81.43,81.43,81.43,81.43,3.089,3.949,790.133
MNST,84,81.44,11262900,81.169,79.73,76.995,67.181,83.24,83.24,83.24,83.24,1.537,1.887,549.091
VLO,84,197.41,4466500,185.801,185.365,176.466,154.381,198.36,198.36,198.36,198.36,6.649,3.368,728.581
BLD,84,499.83,391500,481.718,478.37,452.348,392.401,507.38,509.36,509.36,509.36,17.205,3.442,121.399
PH,84,967.99,956500,941.111,935.705,900.48,764.356,979.44,979.44,979.44,979.44,19.633,2.028,791.951
EXPD,84,164.92,1829500,161.003,160.79,154.346,127.532,167.19,167.19,167.19,167.19,3.145,1.907,244.024
ITUB,83,8.49,39701100,8.605,8.021,7.551,6.845,9.11,9.11,9.11,9.11,0.239,2.82,304.786
ON,83,62.06,14993500,61.885,61.317,56.98,51.417,66.86,66.86,66.86,66.86,2.711,4.368,599.305
KEYS,82,221.6,1833300,219.186,215.147,208.043,175.739,232.92,232.92,232.92,232.92,6.22,2.807,252.85
SGI,82,94.78,2293900,91.76,92.251,91.321,79.43,96.72,96.72,96.72,96.72,2.59,2.733,135.624
KNX,82,60.16,3875500,57.312,57.023,53.418,45.918,61.28,61.28,61.28,61.28,1.813,3.014,239.847
HXL,82,82.54,1038700,82.564,82.191,78.016,64.684,88.0,88.0,88.0,88.0,2.449,2.967,136.33
LLY,82,1107.12,7113000,1049.373,1058.662,1055.481,857.326,1114.0,1133.95,1133.95,1133.95,37.391,3.377,3781.28
BNS,81,74.7,2168200,75.226,74.081,72.694,61.886,76.56,76.56,76.56,76.56,1.103,1.477,121.917
RBC,81,516.78,346300,507.871,499.087,469.335,405.368,522.07,522.07,522.07,522.07,11.208,2.169,108.364
RTX,81,196.74,11409700,198.928,196.653,185.568,160.804,206.48,206.48,206.48,206.48,5.004,2.544,1476.254
WMS,81,160.26,1405200,154.556,155.306,151.645,134.082,162.3,162.3,162.3,162.3,4.265,2.661,108.065
